fips,rucc2013,rucc1993,rucc2003,commuters2003,tot_pop2008,tot_pop2012,tot_pop2016,tot_pop2019,stname,ctyname,white2008,white2012,white2016,white2019,aa2019,aa2016,aa2012,aa2008,hisp2019,hisp2016,hisp2012,hisp2008,demvotes2000,repvotes2000,totalvotes2000,indvotes2000,reptodem2000,indtotot2000,demvotes2004,repvotes2004,totalvotes2004,indvotes2004,reptodem2004,indtotot2004,demvotes2008,repvotes2008,totalvotes2008,indvotes2008,reptodem2008,indtotot2008,demvotes2012,repvotes2012,totalvotes2012,indvotes2012,reptodem2012,indtotot2012,demvotes2016,repvotes2016,totalvotes2016,indvotes2016,reptodem2016,indtotot2016,demvotes2020,repvotes2020,totalvotes2020,indvotes2020,reptodem2020,indtotot2020,state,state_po,county,turnout2020,turnout2016,turnout2012,turnout2008,turnout2004,repoverdem2020,repoverdem2016,repoverdem2012,repoverdem2008,repoverdem2004,repoverdem2000,dominion,diebold,dominionvs,dss,swing,swingdss,pred_2020,resid_2020
55008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,
53011,1,1,1,0,425363,436361,465272,488241,Washington,Clark County,.88389212,.8798449,.87135267,.86137992,.023859119,.021974243,.020815333,.020949166,.10190869,.093551733,.080582365,.075620115,61767,67219,135530,6544,1.0882672,.048284512,79538,88646,170439,2255,1.1145113,.01323054,95356,84212,182764,3196,.8831327,.017487032,93382,92951,190805,4472,.99538457,.023437541,92757,92441,200160,14962,.99659324,.0747502,140070,126047,272916,6799,.89988577,.024912428,Washington,WA,Clark,1.3634892,1.0490291,1.0439966,1.0723133,1.257574,-5.1382113,-.15787371,-.22588506,-6.0974808,5.3438473,4.0227256,0,0,0,0,0,0,-3.4808161,-1.657395
20171,7,7,7,0,4936,4853,4979,4823,Kansas,Scott County,.97589141,.97073972,.95722032,.95106781,.008086253,.0070295241,.0045332783,.0038492708,.18328841,.17613979,.16546465,.15255268,418,1811,2303,74,4.3325357,.032132003,347,1924,2299,28,5.5446687,.012179208,321,1823,2179,35,5.6791277,.016062414,277,1728,2052,47,6.2382669,.022904484,236,1865,2202,101,7.9025426,.045867395,290,1991,2322,41,6.8655171,.017657192,Kansas,KS,Scott,1.0544959,1.0730994,.94171637,.94780338,.99826312,73.255814,73.978203,70.711502,68.930702,68.595039,60.48632,0,0,0,0,0,0,74.539459,-1.2836484
45091,1,0,1,0,226073,234059,257866,280979,South Carolina,York County,.76619941,.76320076,.75658286,.74756122,.19328135,.19379057,.19284454,.19175665,.059228625,.0526824,.046894159,.044565249,19251,33776,54351,1324,1.7545062,.024360178,24226,45234,70181,721,1.8671675,.010273436,37918,54500,93696,1278,1.4373121,.013639856,39131,59546,100210,1533,1.5217091,.015297875,41593,66754,114357,6010,1.6049335,.052554719,59008,82727,144050,2315,1.4019624,.016070809,South Carolina,SC,York,1.2596518,1.1411735,1.0695227,1.3350621,1.291255,16.465811,22.002151,20.372219,17.69766,29.934029,26.72444,0,0,0,0,0,0,16.35611,.10970066
29009,6,7,6,9.1000004,35597,35333,35226,35789,Missouri,Barry County,.95682222,.95233917,.94529611,.93433738,.0066780294,.0055356841,.0038490929,.0030620557,.099388078,.08990518,.080547929,.077113241,4135,7885,12368,348,1.9068924,.028137129,4223,9599,13927,105,2.2730286,.0075393124,4630,9758,14644,256,2.1075594,.017481562,3667,9832,13806,307,2.6812108,.022236709,2710,11428,14605,467,4.2169743,.031975351,2948,12425,15598,225,4.2147217,.014424927,Missouri,MO,Barry,1.0679904,1.0578734,.94277519,1.0514827,1.1260511,60.75779,59.691887,44.654499,35.017754,38.601276,30.320181,0,0,0,0,0,0,60.442787,.31500274
37035,2,2,2,0,154358,154693,156448,159551,North Carolina,Catawba County,.85740292,.85301208,.84356463,.83854067,.089306869,.089665577,.08713387,.086409517,.10137824,.094881363,.084916577,.084427111,16246,34244,50841,351,2.107842,.006903877,18858,39602,58688,228,2.1000106,.0038849509,25656,42993,69451,802,1.6757483,.01154771,24069,44538,69601,994,1.85043,.014281404,21216,48324,72351,2811,2.277715,.038852263,25689,56588,83418,1141,2.2028105,.013678103,North Carolina,NC,Catawba,1.1529627,1.039511,1.0021598,1.1833936,1.154344,37.041164,37.467346,29.40906,24.962923,35.346237,35.400562,0,0,0,0,1,0,33.342686,3.6984806
51550,1,0,1,0,222209,228091,237464,244835,Virginia,Chesapeake city,.63599133,.63216436,.62520635,.6160394,.30612454,.30132148,.30109036,.30131543,.066326298,.059040528,.048265822,.043679599,33578,39684,74585,1323,1.1818453,.01773815,38744,52283,91541,514,1.3494476,.0056149703,53994,52625,107521,902,.97464532,.0083890585,55052,53900,110425,1473,.97907436,.01333937,52627,54047,112705,6031,1.0269823,.053511377,66377,58180,126655,2098,.87650841,.016564684,Virginia,VA,Chesapeake,1.1237744,1.0206475,1.0270087,1.1745666,1.227338,-6.4719119,1.2599263,-1.043242,-1.2732396,14.790094,8.1866331,0,0,0,0,1,0,-.85685414,-5.6150579
31061,9,9,9,0,3225,3183,2994,2979,Nebraska,Franklin County,.98294574,.97989321,.97795594,.97314537,.0040281974,.0023380094,.0015708451,.00062015501,.024169184,.025718102,.01288093,.010232558,420,1196,1668,52,2.8476191,.03117506,412,1277,1714,25,3.0995145,.014585764,442,1079,1552,31,2.4411764,.019974226,384,1112,1536,40,2.8958333,.026041666,250,1347,1673,76,5.388,.045427375,276,1434,1721,11,5.195652,.0063916328,Nebraska,NE,Franklin,1.0286909,1.0891927,.98969072,.90548426,1.027578,67.286461,65.570831,47.395832,41.043816,50.466743,46.522781,0,0,0,0,0,0,67.552216,-.26575577
37081,2,2,2,0,488406,500514,524265,537174,North Carolina,Guilford County,.60171044,.59212327,.57290113,.55964178,.3539598,.34676737,.33573687,.33053443,.084127307,.077502787,.07288707,.071305431,80787,84394,166264,1083,1.0446483,.0065137371,100042,98254,199314,1018,.98212749,.0051075188,142101,97718,241771,1952,.68766582,.0080737555,146365,104789,253852,2698,.71594304,.01062824,149248,98062,257405,10095,.65704066,.039218351,171538,106384,281201,3279,.62017745,.011660698,North Carolina,NC,Guilford,1.0924457,1.0139964,1.0499687,1.2130157,1.1987803,-23.169903,-19.885395,-16.378048,-18.357454,-.89707696,2.1694415,0,0,0,0,1,0,-24.212109,1.0422066
50020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,,
